subject_id,frame_path,timestamp,gaze_x,gaze_y,validity,original_type,eye_tracker_timestamp,match_time_diff_sec,clip_id
0,0\images\0_000040.jpg,1.3333,0.5149,0.593,1,Fixation,410055558165.0,0.004247,0
0,0\images\0_000041.jpg,1.3667,0.5123,0.5957,1,Fixation,410055586165.0,0.001153,0
0,0\images\0_000042.jpg,1.4,0.5154,0.5936,1,Fixation,410055622160.0,0.001542,0
0,0\images\0_000043.jpg,1.4333,0.5139,0.5939,1,Fixation,410055654159.0,0.0002409999999999,0
0,0\images\0_000044.jpg,1.4667,0.5139,0.59,1,Fixation,410055686159.0,0.0011589999999999,0
0,0\images\0_000045.jpg,1.5,0.5171,0.5925,1,Fixation,410055722159.0,0.0015409999999999,0
0,0\images\0_000046.jpg,1.5333,0.5162,0.5913,1,Fixation,410055754157.0,0.0002389999999998,0
0,0\images\0_000047.jpg,1.5667,0.5166,0.5861,1,Fixation,410055786157.0,0.001161,0
0,0\images\0_000048.jpg,1.6,0.5145,0.5903,1,Fixation,410055822156.0,0.0015379999999998,0
0,0\images\0_000049.jpg,1.6333,0.5155,0.5916,1,Fixation,410055854156.0,0.000238,0
0,0\images\0_000050.jpg,1.6667,0.5179,0.5944,1,Fixation,410055886153.0,0.001165,0
0,0\images\0_000051.jpg,1.7,0.5194,0.5916,1,Fixation,410055922152.0,0.001534,0
0,0\images\0_000052.jpg,1.7333,0.5147,0.5925,1,Fixation,410055954153.0,0.0002349999999999,0
0,0\images\0_000053.jpg,1.7667,0.5182,0.5912,1,Fixation,410055986153.0,0.0011649999999999,0
0,0\images\0_000054.jpg,1.8,0.514,0.5908,1,Fixation,410056022154.0,0.0015359999999999,0
0,0\images\0_000055.jpg,1.8333,0.5151,0.5889,1,Fixation,410056054154.0,0.000236,0
0,0\images\0_000056.jpg,1.8667,0.5146,0.5905,1,Fixation,410056086154.0,0.001164,0
0,0\images\0_000057.jpg,1.9,0.5147,0.5921,1,Fixation,410056122153.0,0.001535,0
0,0\images\0_000058.jpg,1.9333,0.5144,0.593,1,Fixation,410056154151.0,0.0002329999999999,0
0,0\images\0_000059.jpg,1.9667,0.5146,0.5893,1,Fixation,410056186150.0,0.0011679999999999,0
0,0\images\0_000060.jpg,2.0,0.5121,0.5922,1,Fixation,410056222150.0,0.0015319999999999,0
0,0\images\0_000061.jpg,2.0333,0.5117,0.5897,1,Fixation,410056254150.0,0.0002319999999998,0
0,0\images\0_000062.jpg,2.0667,0.5136,0.5895,1,Fixation,410056286149.0,0.0011689999999999,0
